ISCO08_C,ISCO1C,ISCO2C,PVLIT1,PVLIT2,PVLIT3,PVLIT4,PVLIT5,PVLIT6,PVLIT7,PVLIT8,PVLIT9,PVLIT10,PVNUM1,PVNUM2,PVNUM3,PVNUM4,PVNUM5,PVNUM6,PVNUM7,PVNUM8,PVNUM9,PVNUM10,NUMWORKC2,READWORKC2_T1,WRITWORKC2,ICTWORKC2,SPFWT0,AGE_R,GENDER_R
4321,4,43,265.51736,286.93429,261.28209,232.95622,283.31237,267.85297,258.55646,266.11291,238.47818,269.09756,226.46624,251.90057,232.19827,241.09078,252.35937,257.4186,258.72767,245.47347,234.96284,245.11023,2.60704,1.37013,2.18076,1.42926,1436.03022,57.0,1.0
7542,7,75,250.0875,202.51564,226.21548,248.88359,228.06546,196.21907,212.71037,214.31061,220.54033,238.64558,211.5026,205.04462,243.34339,215.68117,214.64933,215.94492,198.71524,226.58903,216.69417,209.23836,3.47162,3.10389,2.80464,1.68902,4240.29064,18.0,1.0
3313,3,33,175.47471,177.13089,185.64993,186.82698,191.14681,182.16519,192.00321,187.21459,194.4934,190.04506,165.88312,155.09551,189.79418,179.97279,170.17175,164.23632,196.58594,174.63173,162.36927,177.15836,0.11034,1.52126,3.63381,1.89134,1638.174319,63.0,2.0
9996,995,995,159.10951,155.84739,150.92994,131.54194,170.45227,141.01088,165.82998,148.16894,159.71546,152.44305,183.16761,172.36944,159.57396,184.95367,169.41995,139.1095,197.1369,162.12866,174.59635,177.83916,.v,.v,.v,.v,4442.248154,57.0,2.0
9996,996,996,174.4616,236.94078,201.78912,195.93768,189.95608,192.17217,194.93304,179.0806,216.57532,190.65633,140.47337,205.6492,186.87816,203.87256,195.08802,166.12304,155.57011,162.81389,200.54517,187.03225,.v,.v,.v,.v,2439.915199,64.0,2.0
4226,4,42,243.57851,248.87395,242.07684,194.48988,278.68742,186.84956,265.81292,235.57585,254.64712,303.52715,159.08314,234.17068,197.59699,203.60648,234.62703,195.98151,231.98128,240.77411,229.74781,298.79739,2.11014,1.28248,3.63381,1.2247,1914.893549,57.0,2.0
2529,2,25,274.9661,278.08675,281.39623,268.20445,268.02498,263.93082,273.52102,303.95698,283.36891,250.44025,316.47266,269.8032,294.75134,290.39213,300.74911,280.40964,313.14345,314.5731,315.78148,267.63377,2.63807,4.53938,2.70013,4.03035,1455.853811,33.0,1.0
9996,995,995,167.40105,165.70822,170.94302,167.92171,172.48517,166.20423,168.34825,171.68736,165.10391,180.48421,144.90938,172.54478,153.02435,135.57457,139.12363,165.88199,154.20882,132.48078,147.0242,140.28299,.v,.v,.v,.v,906.852865,65.0,2.0
8113,8,81,144.44642,146.23437,127.85088,135.99847,129.96554,149.92675,132.52009,144.68915,130.6762,153.90582,170.07431,118.73391,128.81638,113.34402,132.54745,107.01925,112.49094,127.78634,146.4827,163.53141,0.11034,1.94604,1.06848,.v,3644.622834,41.0,1.0
5311,5,53,115.51411,93.87433,93.72927,112.47298,113.49754,118.20385,99.85032,116.96796,128.9748,98.38634,56.85896,73.07066,90.99477,88.79422,120.79874,92.59219,99.28837,72.22301,93.77526,86.06158,0.11034,2.51353,2.04098,.v,741.208195,59.0,2.0
7231,7,72,187.52858,220.09609,235.1299,206.0023,240.27396,226.68549,242.0993,226.7069,237.06812,256.4484,214.49951,252.80709,243.89774,218.54788,224.26122,226.92977,244.09934,220.4269,235.17846,241.37172,2.63543,2.43378,3.63381,4.47177,5364.301258,52.0,1.0
2635,2,26,234.77918,207.66241,198.97526,212.49137,211.60852,237.44542,236.27655,242.78941,211.11852,226.09177,253.19095,235.68451,211.33087,225.97694,226.13452,238.55552,243.42172,249.18796,219.80308,249.42647,0.97956,2.30554,2.61166,2.8321,2182.933784,42.0,2.0
9996,996,996,247.29055,244.85963,249.59267,262.2926,255.7872,249.50786,250.71784,262.15296,257.09218,248.01371,233.36961,242.70627,211.37337,215.69947,231.93588,253.05479,205.02757,237.22263,226.82806,238.07482,2.95143,1.62188,1.71994,1.93352,2302.027747,18.0,1.0
9112,9,91,134.21882,135.21782,132.3547,141.80865,143.12643,141.23501,131.15902,132.66513,138.94313,138.75683,108.21467,108.64211,114.66427,97.33523,109.22128,114.3095,129.5493,127.91015,100.63826,136.37955,1.74221,2.5181,2.70937,.v,1400.973073,54.0,2.0
