isco88_codigo,isco08_codigo,n_candidatos,es_ambiguo
2442,2632,1,FALSE
2443,2633,1,FALSE
2444,2643,1,FALSE
2445,2634,1,FALSE
2446,2635,1,FALSE
2451,2431,3,TRUE
2451,2432,3,TRUE
2451,2641,3,TRUE
2452,2651,1,FALSE
2453,2652,1,FALSE
2454,2653,1,FALSE
2455,2655,1,FALSE
2460,2636,1,FALSE
3111,3111,1,FALSE
3112,3112,1,FALSE
3113,3113,1,FALSE
3114,3522,1,FALSE
3115,3115,1,FALSE
3116,3116,1,FALSE
3117,3117,1,FALSE
3118,3118,1,FALSE
3119,3119,1,FALSE
3121,3512,1,FALSE
3122,3511,1,FALSE
3123,3139,1,FALSE
3131,3431,1,FALSE
3132,3522,1,FALSE
3133,3211,1,FALSE
3141,3151,1,FALSE
3142,3152,1,FALSE
3143,3153,1,FALSE
3144,3154,1,FALSE
3145,3155,1,FALSE
3151,3112,2,TRUE
3151,3359,2,TRUE
3152,7543,1,FALSE
3211,3141,2,TRUE
3211,3212,2,TRUE
3212,3142,2,TRUE
3212,3143,2,TRUE
3213,2132,1,FALSE
3221,2240,3,TRUE
3221,3253,3,TRUE
3221,3256,3,TRUE
3222,2263,2,TRUE
3222,3257,2,TRUE
3223,2265,1,FALSE
3224,2267,2,TRUE
3224,3254,2,TRUE
3225,3251,1,FALSE
3226,2264,2,TRUE
3226,3255,2,TRUE
3227,3240,1,FALSE
3228,3213,1,FALSE
3229,2266,1,FALSE
3231,3221,1,FALSE
3232,3222,1,FALSE
3241,2230,2,TRUE
3241,3230,2,TRUE
3242,3413,1,FALSE
3310,2341,1,FALSE
3320,2342,1,FALSE
3330,2352,1,FALSE
3340,5165,1,FALSE
3411,3311,1,FALSE
3412,3321,1,FALSE
3413,3334,1,FALSE
3414,4221,1,FALSE
3415,2433,3,TRUE
3415,2434,3,TRUE
3415,3322,3,TRUE
3416,3323,1,FALSE
3417,3315,1,FALSE
3419,3312,1,FALSE
3421,3324,1,FALSE
3422,3331,1,FALSE
3423,3333,1,FALSE
3429,3339,1,FALSE
3431,3341,4,TRUE
3431,3342,4,TRUE
3431,3343,4,TRUE
3431,3344,4,TRUE
3432,3411,1,FALSE
3433,3313,1,FALSE
3434,3314,1,FALSE
3439,3332,1,FALSE
3441,3351,1,FALSE
3442,3352,1,FALSE
3443,3353,1,FALSE
3444,3354,1,FALSE
3449,3359,1,FALSE
3450,3355,2,TRUE
3450,3411,2,TRUE
3460,3412,1,FALSE
3471,2163,3,TRUE
3471,2166,3,TRUE
3471,3432,3,TRUE
3472,2656,1,FALSE
3473,2652,2,TRUE
3473,2653,2,TRUE
3474,2659,1,FALSE
3475,3421,2,TRUE
3475,3422,2,TRUE
3480,3413,1,FALSE
4111,3341,2,TRUE
4111,4131,2,TRUE
4112,3341,2,TRUE
4112,4131,2,TRUE
4113,4132,1,FALSE
4114,3341,2,TRUE
4114,4132,2,TRUE
4115,4120,1,FALSE
4121,4311,2,TRUE
4121,4313,2,TRUE
4122,4312,1,FALSE
4131,4321,1,FALSE
4132,4322,1,FALSE
4133,4323,1,FALSE
4141,4411,2,TRUE
4141,4415,2,TRUE
4142,4412,1,FALSE
4143,3252,2,TRUE
4143,4413,2,TRUE
4144,4414,1,FALSE
4190,4110,4,TRUE
4190,4227,4,TRUE
4190,4416,4,TRUE
4190,4419,4,TRUE
4211,5230,1,FALSE
4212,4211,1,FALSE
4213,4212,1,FALSE
4214,4213,1,FALSE
4215,4214,1,FALSE
4221,4221,1,FALSE
4222,4222,5,TRUE
4222,4224,5,TRUE
4222,4225,5,TRUE
4222,4226,5,TRUE
4222,4229,5,TRUE
4223,4223,1,FALSE
5111,5111,1,FALSE
5112,5112,1,FALSE
5113,5113,1,FALSE
5121,5151,2,TRUE
5121,5152,2,TRUE
5122,3434,3,TRUE
5122,5120,3,TRUE
5122,9411,3,TRUE
5123,5131,2,TRUE
5123,5132,2,TRUE
5131,5311,2,TRUE
5131,5312,2,TRUE
5132,3258,3,TRUE
5132,5321,3,TRUE
5132,5329,3,TRUE
5133,5322,1,FALSE
5139,5164,2,TRUE
5139,5329,2,TRUE
5141,5141,2,TRUE
5141,5142,2,TRUE
5142,5162,1,FALSE
5143,5163,1,FALSE
5149,5169,1,FALSE
5151,5161,1,FALSE
5152,5161,1,FALSE
5161,5411,1,FALSE
5162,5412,1,FALSE
5163,5413,1,FALSE
5169,5419,1,FALSE
5210,5241,1,FALSE
5220,5222,5,TRUE
5220,5223,5,TRUE
5220,5242,5,TRUE
5220,5245,5,TRUE
5220,5249,5,TRUE
5230,5211,1,FALSE
6111,6111,1,FALSE
6112,6112,1,FALSE
6113,9214,1,FALSE
6114,6114,1,FALSE
6121,6121,1,FALSE
6122,6122,1,FALSE
6123,6123,1,FALSE
6124,6121,3,TRUE
6124,6122,3,TRUE
6124,6123,3,TRUE
6129,5164,2,TRUE
6129,6129,2,TRUE
6130,6130,1,FALSE
6141,6210,1,FALSE
6142,6210,1,FALSE
6151,6221,1,FALSE
6152,6222,2,TRUE
6152,7541,2,TRUE
6153,6223,1,FALSE
6154,6224,1,FALSE
6210,6310,4,TRUE
6210,6320,4,TRUE
6210,6330,4,TRUE
6210,6340,4,TRUE
7111,3121,1,FALSE
7112,7542,1,FALSE
7113,7113,1,FALSE
7121,7111,1,FALSE
7122,7112,1,FALSE
7123,7114,1,FALSE
7124,7115,1,FALSE
7129,7119,1,FALSE
7131,7121,1,FALSE
7132,7122,1,FALSE
7133,7123,1,FALSE
7134,7124,1,FALSE
7135,7125,1,FALSE
7136,7126,1,FALSE
7137,7411,1,FALSE
7141,7131,1,FALSE
7142,7132,1,FALSE
7143,7133,2,TRUE
7143,7544,2,TRUE
7211,7211,1,FALSE
7212,7212,1,FALSE
7213,7213,1,FALSE
7214,7214,1,FALSE
7215,7215,1,FALSE
7216,7541,1,FALSE
7221,7221,1,FALSE
7222,7222,1,FALSE
7223,7223,1,FALSE
7224,7224,1,FALSE
7231,7231,2,TRUE
7231,7234,2,TRUE
7232,7232,1,FALSE
7233,7127,2,TRUE
7233,7233,2,TRUE
7241,7412,1,FALSE
7242,7421,2,TRUE
7242,7422,2,TRUE
7243,7421,2,TRUE
7243,7422,2,TRUE
7244,7422,1,FALSE
7245,7413,1,FALSE
7311,3214,2,TRUE
7311,7311,2,TRUE
7312,7312,1,FALSE
7313,7313,1,FALSE
7321,7314,1,FALSE
7322,7315,2,TRUE
7322,7549,2,TRUE
7323,7316,1,FALSE
7324,7316,1,FALSE
7331,7317,2,TRUE
7331,7319,2,TRUE
7332,7318,1,FALSE
7341,7321,2,TRUE
7341,7322,2,TRUE
7342,7321,1,FALSE
7343,7321,1,FALSE
7344,8132,1,FALSE
7345,7323,1,FALSE
7346,7322,1,FALSE
7411,7511,1,FALSE
7412,7512,1,FALSE
7413,7513,1,FALSE
7414,7514,1,FALSE
7415,7515,1,FALSE
7416,7516,1,FALSE
7421,7521,1,FALSE
7422,7522,1,FALSE
7423,7523,1,FALSE
7424,7317,1,FALSE
7431,7318,1,FALSE
7432,7318,2,TRUE
7432,8152,2,TRUE
7433,7531,1,FALSE
7434,7531,1,FALSE
7435,7532,1,FALSE
7436,7533,1,FALSE
7437,7534,1,FALSE
7441,7535,1,FALSE
7442,7536,1,FALSE
8111,3121,1,FALSE
8112,8112,1,FALSE
8113,8113,1,FALSE
8121,3135,2,TRUE
8121,8121,2,TRUE
8122,3135,2,TRUE
8122,8121,2,TRUE
8123,3135,2,TRUE
8123,8121,2,TRUE
8124,3135,2,TRUE
8124,8121,2,TRUE
8131,8181,1,FALSE
8139,8181,1,FALSE
8141,8172,1,FALSE
8142,3139,2,TRUE
8142,8171,2,TRUE
8143,3139,2,TRUE
8143,8171,2,TRUE
8151,8131,1,FALSE
8152,3133,2,TRUE
8152,8131,2,TRUE
8153,3133,2,TRUE
8153,8131,2,TRUE
8154,3133,2,TRUE
8154,8131,2,TRUE
8155,3134,1,FALSE
8159,3133,2,TRUE
8159,8131,2,TRUE
8161,3131,1,FALSE
8162,8182,1,FALSE
8163,3132,1,FALSE
8171,3122,2,TRUE
8171,3139,2,TRUE
8172,3122,2,TRUE
8172,3139,2,TRUE
8211,3122,2,TRUE
8211,7223,2,TRUE
8212,8114,1,FALSE
8221,3122,2,TRUE
8221,8131,2,TRUE
8222,3122,2,TRUE
8222,8131,2,TRUE
8223,8122,1,FALSE
8224,3122,2,TRUE
8224,8132,2,TRUE
8229,3122,2,TRUE
8229,8131,2,TRUE
8231,8141,1,FALSE
8232,8142,1,FALSE
8240,3122,2,TRUE
8240,7523,2,TRUE
8251,3122,2,TRUE
8251,7322,2,TRUE
8252,3122,2,TRUE
8252,7323,2,TRUE
8253,8143,1,FALSE
8261,8151,1,FALSE
8262,3122,2,TRUE
8262,8152,2,TRUE
8263,8153,1,FALSE
8264,8154,2,TRUE
8264,8157,2,TRUE
8265,8155,1,FALSE
8266,8156,1,FALSE
8269,8159,1,FALSE
8271,3122,2,TRUE
8271,8160,2,TRUE
8272,3122,2,TRUE
8272,8160,2,TRUE
8273,3122,2,TRUE
8273,8160,2,TRUE
8274,3122,2,TRUE
8274,8160,2,TRUE
8275,3122,2,TRUE
8275,8160,2,TRUE
8276,3122,2,TRUE
8276,8160,2,TRUE
8277,3122,2,TRUE
8277,8160,2,TRUE
8278,3122,2,TRUE
8278,8160,2,TRUE
8279,3122,2,TRUE
8279,8160,2,TRUE
8281,8211,1,FALSE
8282,3122,2,TRUE
8282,8212,2,TRUE
8283,3122,2,TRUE
8283,8212,2,TRUE
8284,3122,2,TRUE
8284,8219,2,TRUE
8285,3122,2,TRUE
8285,8219,2,TRUE
8286,3122,2,TRUE
8286,8219,2,TRUE
8290,8183,2,TRUE
8290,8189,2,TRUE
8311,8311,1,FALSE
8312,8312,1,FALSE
8321,8321,1,FALSE
8322,8322,1,FALSE
8323,8331,1,FALSE
8324,8332,1,FALSE
8331,8341,1,FALSE
8332,8342,1,FALSE
8333,8343,1,FALSE
8334,8344,1,FALSE
8340,8350,1,FALSE
9111,5212,1,FALSE
9112,9520,1,FALSE
9113,5243,2,TRUE
9113,5244,2,TRUE
9120,9510,1,FALSE
9131,9111,1,FALSE
9132,9112,2,TRUE
9132,9412,2,TRUE
9133,9121,1,FALSE
9141,5153,1,FALSE
9142,9122,3,TRUE
9142,9123,3,TRUE
9142,9129,3,TRUE
9151,9621,1,FALSE
9152,9629,1,FALSE
9153,9623,1,FALSE
9161,9611,1,FALSE
9162,9613,3,TRUE
9162,9622,3,TRUE
9162,9624,3,TRUE
9211,9211,4,TRUE
9211,9212,4,TRUE
9211,9213,4,TRUE
9211,9214,4,TRUE
9212,9215,1,FALSE
9213,9216,1,FALSE
9311,9311,1,FALSE
9312,9312,1,FALSE
9313,9313,1,FALSE
9321,9329,2,TRUE
9321,9612,2,TRUE
9322,9321,1,FALSE
9331,9331,1,FALSE
9332,9332,1,FALSE
9333,9333,2,TRUE
9333,9334,2,TRUE
